                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6858,                 3.6113,                 4.2056,                0.00362,                0.17685,                0.00446,                0.00171,                 3.2999,                 3.7275,                  4.145,             0.00064957,             0.00064957,             0.00064957
                      1,                 3.3105,                 3.3327,                 3.7928,                0.00638,                0.19325,                 0.0114,                0.00331,                 3.2049,                 3.6575,                 4.1356,              0.0013032,              0.0013032,              0.0013032
                      2,                 3.1398,                 3.1873,                 3.3647,                0.01681,                0.25706,                0.01198,                 0.0037,                 2.9799,                  28.89,                 3.9051,              0.0019436,              0.0019436,              0.0019436
                      3,                 3.0323,                    3.1,                 3.1195,                0.01339,                0.04011,                0.00511,                0.00184,                  2.994,                 47.308,                 3.8902,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.8842,                 2.9681,                  2.969,                0.06741,                0.08204,                0.02347,                0.00617,                 2.7818,                 8.8047,                 3.1336,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.7847,                 2.8963,                 2.7974,                0.25847,                0.13472,                0.09937,                0.03513,                 2.6031,                  4.324,                  2.907,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.673,                 2.9495,                 2.8284,                0.21895,                0.14403,                0.10426,                0.03918,                  2.507,                 3.9798,                 2.7007,               0.001901,               0.001901,               0.001901
                      7,                  2.677,                 2.8083,                 2.7328,                0.24148,                0.17229,                0.13803,                0.04768,                 2.5031,                 2.9494,                 2.6692,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6298,                  2.783,                 2.6715,                0.24151,                0.18687,                0.11992,                0.04026,                 2.4303,                 2.8664,                  2.594,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5255,                 2.7003,                 2.5881,                0.26707,                0.16591,                0.14482,                0.05783,                 2.4135,                 2.8405,                  2.567,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5286,                  2.738,                 2.5447,                0.25624,                0.20419,                0.13489,                0.05153,                 2.3539,                  2.734,                 2.4657,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.4648,                 2.6979,                 2.4736,                0.24136,                0.19872,                0.13603,                0.05178,                 2.3113,                 2.6816,                 2.4326,               0.001802,               0.001802,               0.001802
                     12,                 2.4706,                 2.6739,                 2.5051,                0.25609,                 0.2051,                0.14459,                0.04989,                 2.3404,                 2.7454,                 2.4366,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.4378,                 2.5968,                 2.4316,                0.24717,                0.23884,                0.16617,                0.06271,                 2.2971,                 2.8037,                 2.3742,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.401,                 2.5617,                 2.3828,                0.32129,                0.19417,                0.18702,                 0.0749,                 2.2693,                 2.7477,                  2.354,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.3617,                 2.6124,                 2.4097,                0.31301,                0.21513,                0.17924,                0.07073,                 2.3018,                 2.5816,                 2.3481,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.3215,                 2.4618,                 2.2832,                0.28537,                0.21878,                0.17959,                0.06461,                 2.2642,                 2.5571,                 2.2909,               0.001703,               0.001703,               0.001703
                     17,                 2.3466,                 2.5471,                 2.3098,                0.29228,                 0.2443,                0.20168,                0.07598,                 2.2382,                 2.4693,                 2.2452,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.2921,                 2.5068,                 2.2737,                  0.353,                0.23336,                0.21024,                0.08521,                 2.1718,                 2.4932,                 2.2099,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.2612,                 2.4579,                 2.2203,                0.26942,                0.22789,                0.17606,                 0.0691,                 2.2033,                 2.5676,                 2.2461,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.2519,                 2.4734,                 2.2231,                0.33323,                0.23883,                0.20741,                0.08596,                 2.1237,                 2.3664,                 2.1524,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.2521,                 2.4253,                 2.2219,                0.27646,                0.25524,                0.19619,                0.08385,                 2.2098,                 2.5427,                   2.21,               0.001604,               0.001604,               0.001604
                     22,                 2.2461,                 2.4331,                 2.1747,                0.37767,                0.23792,                0.21703,                0.09296,                 2.2102,                 2.4977,                 2.1985,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.2574,                 2.3739,                 2.1594,                0.30189,                 0.2753,                0.22131,                0.09092,                 2.1154,                 2.4611,                 2.1232,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.2075,                 2.4483,                  2.175,                0.31485,                0.27522,                0.20128,                0.08119,                 2.1215,                 2.4131,                 2.1051,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1824,                 2.4116,                 2.0985,                0.27866,                0.23883,                0.18609,                0.07667,                 2.1206,                 2.4015,                 2.1303,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.1947,                 2.3597,                 2.1206,                 0.3365,                0.25706,                0.22917,                0.10127,                 2.0741,                 2.3581,                 2.0929,               0.001505,               0.001505,               0.001505
                     27,                  2.126,                 2.3748,                 2.1227,                0.30257,                0.28077,                0.20828,                 0.0803,                 2.0928,                  2.404,                 2.1045,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.1296,                  2.359,                 2.0736,                0.32814,                0.27347,                0.20109,                0.08297,                 2.1083,                 2.4073,                 2.0721,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.1082,                 2.3044,                 2.0357,                0.33438,                0.28168,                0.21599,                0.08674,                 2.0801,                 2.3262,                 2.0858,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.1653,                 2.3106,                 2.0188,                0.31042,                0.27074,                0.21242,                0.08985,                 2.0865,                 2.4077,                 2.0558,              0.0014258,              0.0014258,              0.0014258
                     31,                  2.133,                 2.3032,                 2.0382,                 0.3399,                0.24704,                0.20807,                0.08412,                 2.0689,                 2.4301,                  2.077,               0.001406,               0.001406,               0.001406
                     32,                  2.097,                 2.2888,                  2.026,                0.31837,                 0.2908,                0.21955,                0.09228,                 2.0804,                 2.2989,                 2.0325,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.0745,                 2.2422,                 2.0323,                0.34924,                0.27803,                0.23473,                0.10733,                  2.023,                 2.2619,                 2.0129,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.0379,                 2.2071,                 1.9908,                0.33681,                0.29262,                 0.2282,                 0.0948,                 2.0527,                 2.3542,                 2.0303,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.0353,                 2.2319,                 1.9892,                0.37103,                0.26345,                0.24219,                0.10225,                 2.0172,                 2.2428,                 2.0012,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0676,                 2.2164,                 1.9985,                 0.3459,                0.30948,                0.24361,                0.10741,                 1.9878,                 2.2086,                 1.9867,               0.001307,               0.001307,               0.001307
                     37,                 2.0134,                 2.2321,                 1.9348,                 0.3431,                0.31358,                0.23803,                0.10248,                 1.9891,                 2.2362,                 1.9779,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0341,                 2.2051,                 1.9311,                0.37705,                0.30811,                0.27811,                0.12197,                 2.0024,                 2.1937,                 1.9442,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0229,                 2.1993,                 1.9709,                0.31446,                0.29991,                0.23152,                0.09975,                 2.0142,                 2.2946,                  1.997,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.9838,                 2.1745,                 1.9466,                 0.3839,                0.30538,                0.25421,                0.10856,                  2.012,                  2.163,                 1.9913,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.9608,                 2.1281,                 1.9416,                0.35456,                0.30902,                0.24196,                0.10488,                 1.9607,                 2.2368,                 1.9799,               0.001208,               0.001208,               0.001208
                     42,                 1.9874,                 2.1358,                 1.9529,                 0.3766,                0.26709,                0.25286,                 0.1112,                 1.9773,                 2.2122,                 1.9731,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9786,                 2.1658,                 1.9324,                   0.35,                0.28532,                0.23245,                0.10319,                 1.9848,                 2.2193,                 1.9525,              0.0011684,              0.0011684,              0.0011684
