                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5765,                 3.5576,                 4.1815,                0.00338,                0.15042,                 0.0041,                0.00171,                  3.409,                 3.7438,                 4.1472,             0.00065333,             0.00065333,             0.00065333
                      1,                  3.273,                 3.2788,                 3.7508,                0.00514,                0.25118,                0.00893,                0.00287,                 3.2361,                 3.4982,                 3.8294,              0.0008844,              0.0008844,              0.0008844
                      2,                 3.0862,                 3.1102,                 3.4089,                0.03452,                0.09046,                0.01804,                0.00574,                 2.8432,                 6.2916,                 3.3561,             0.00067547,             0.00067547,             0.00067547
