                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.9806,                 2.1328,                 1.9147,                0.29776,                0.27406,                0.21874,                0.10866,                 1.9034,                 2.1621,                 1.8831,              0.0016832,              0.0016832,              0.0016832
                     34,                  1.947,                 2.1331,                 1.9293,                0.37855,                0.30689,                0.25906,                0.11872,                 1.9244,                 2.1231,                 1.8918,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.9413,                 2.0899,                 1.9322,                0.34845,                0.30826,                0.24027,                0.10291,                 1.9366,                 2.0844,                 1.8898,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.9388,                 2.1242,                 1.9033,                0.37989,                0.29097,                0.26215,                0.12971,                 1.8767,                 2.0273,                 1.8405,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.9459,                 2.1089,                  1.911,                0.36331,                0.29322,                0.25839,                0.12386,                 1.9038,                 2.0711,                 1.8521,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.9122,                 2.1247,                 1.8975,                0.38448,                0.28065,                0.25009,                0.12105,                 1.8961,                 2.0476,                 1.8549,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.9273,                 2.0922,                 1.8889,                0.38811,                0.29425,                0.26717,                0.12777,                 1.8918,                 2.0482,                 1.8504,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.9411,                 2.0653,                  1.897,                0.38204,                0.27694,                0.25631,                 0.1257,                 1.8642,                 2.2576,                 1.8204,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.9062,                 2.0424,                 1.8719,                0.37463,                0.30229,                0.26284,                0.12432,                 1.8996,                 2.0632,                 1.8506,               0.001604,               0.001604,               0.001604
                     42,                 1.9113,                 2.0469,                 1.8553,                0.39664,                0.30966,                0.29042,                0.13919,                 1.8681,                  1.974,                 1.8103,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.8573,                 2.0278,                  1.863,                0.39689,                0.31465,                0.28884,                0.14441,                 1.8162,                 1.9816,                 1.7881,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.8813,                 2.0189,                 1.8554,                0.41482,                0.31547,                0.28461,                0.13994,                 1.8775,                 1.9798,                 1.8109,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.9085,                 2.0466,                 1.8522,                0.39588,                0.30538,                0.27327,                0.13466,                 1.8795,                 2.0908,                 1.8476,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.9035,                 2.0516,                 1.8543,                0.40071,                0.31465,                0.28047,                 0.1381,                 1.8405,                  1.976,                 1.7994,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.8923,                 2.0535,                 1.8705,                0.39788,                0.30497,                0.27464,                0.13576,                 1.8381,                 1.9691,                 1.7951,              0.0015446,              0.0015446,              0.0015446
                     48,                  1.852,                 2.0103,                  1.833,                0.42712,                0.30664,                0.29572,                0.14698,                 1.8641,                 1.9526,                 1.7927,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.864,                 2.0051,                 1.8478,                0.40707,                0.32701,                0.30113,                 0.1458,                 1.8394,                 2.0097,                   1.79,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.8636,                 1.9954,                 1.8167,                0.40768,                0.32763,                0.30462,                0.14962,                 1.8182,                 1.9792,                 1.7633,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.8564,                 2.0079,                 1.8169,                 0.4125,                0.31774,                0.28469,                0.13614,                   1.86,                 1.9469,                 1.7987,               0.001505,               0.001505,               0.001505
                     52,                 1.8675,                 1.9711,                 1.7816,                0.41679,                0.33299,                0.30695,                 0.1561,                 1.8113,                 1.8738,                 1.7524,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.8284,                 1.9444,                 1.7858,                0.44399,                0.34061,                0.31773,                0.15771,                 1.8063,                 1.8869,                 1.7487,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.8124,                 1.9304,                 1.7744,                0.43317,                0.33835,                0.32188,                0.16527,                 1.7825,                 1.8446,                 1.7458,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.8261,                 1.9821,                 1.8061,                0.43769,                0.32619,                0.30795,                0.15163,                 1.7965,                 2.0458,                 1.7462,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.8128,                  1.971,                 1.8138,                0.41078,                 0.3437,                0.31253,                0.16277,                 1.7619,                 1.8807,                 1.7282,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.8139,                 1.9503,                 1.8056,                0.44709,                0.34208,                0.32657,                0.16299,                 1.8073,                 1.8668,                 1.7443,              0.0014456,              0.0014456,              0.0014456
