                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5765,                 3.5576,                 4.1815,                0.00338,                0.15042,                 0.0041,                0.00171,                  3.409,                 3.7438,                 4.1472,             0.00065333,             0.00065333,             0.00065333
                      1,                 3.2355,                  3.263,                  3.694,                0.04784,                0.02246,                0.00926,                0.00323,                 3.0116,                 3.7595,                 3.6682,              0.0012677,              0.0012677,              0.0012677
                      2,                 3.0168,                 3.1093,                 3.2713,                0.00753,                0.20626,                 0.0043,                0.00157,                 3.3697,                 463.33,                 8.2676,              0.0018293,              0.0018293,              0.0018293
                      3,                 2.8726,                 3.0281,                 3.0445,                0.04212,                0.03688,                 0.0149,                0.00556,                 2.9541,                 17.133,                 3.3756,              0.0017624,              0.0017624,              0.0017624
                      4,                 2.8148,                 2.9602,                  2.932,                0.17762,                0.16114,                0.07883,                0.02489,                 2.7148,                 4.4884,                 2.8244,              0.0017624,              0.0017624,              0.0017624
                      5,                   2.69,                  2.824,                 2.7789,                0.14314,                 0.1393,                 0.0694,                0.02524,                 2.5617,                 3.3221,                 2.6515,              0.0016832,              0.0016832,              0.0016832
                      6,                 2.6054,                 2.7982,                 2.6994,                 0.2086,                0.16917,                0.10445,                0.03627,                  2.509,                 2.7708,                 2.5706,               0.001604,               0.001604,               0.001604
                      7,                 2.5713,                 2.7368,                 2.6406,                0.17756,                0.14548,                0.08653,                0.03055,                 2.5173,                 2.8455,                 2.5462,              0.0015248,              0.0015248,              0.0015248
                      8,                 2.5144,                 2.6457,                 2.5335,                0.20637,                0.18502,                0.12227,                0.04787,                 2.3929,                 2.7207,                 2.4373,              0.0014456,              0.0014456,              0.0014456
                      9,                 2.4375,                 2.6365,                 2.5126,                0.13451,                0.15022,                0.06512,                0.02393,                 2.3628,                 2.7847,                 2.4127,              0.0013664,              0.0013664,              0.0013664
                     10,                 2.4232,                 2.6259,                 2.4462,                0.22674,                0.18566,                0.12497,                0.04687,                 2.3964,                 2.8496,                 2.4307,              0.0012872,              0.0012872,              0.0012872
                     11,                 2.4092,                 2.5674,                 2.4008,                0.26106,                0.20944,                0.13875,                0.05535,                 2.3232,                 2.5902,                 2.3335,               0.001208,               0.001208,               0.001208
                     12,                  2.357,                 2.5503,                 2.3835,                0.31886,                0.18628,                0.13734,                0.05188,                 2.2731,                 2.5173,                 2.2759,              0.0011288,              0.0011288,              0.0011288
                     13,                 2.3076,                 2.4821,                 2.3068,                 0.3284,                0.20338,                0.17112,                0.06959,                  2.271,                 2.4662,                 2.2578,              0.0010496,              0.0010496,              0.0010496
                     14,                 2.2639,                 2.4493,                  2.275,                0.30635,                0.23862,                0.18543,                0.07763,                 2.2256,                  2.502,                 2.2175,              0.0009704,              0.0009704,              0.0009704
                     15,                 2.2486,                 2.6077,                 2.2762,                0.27904,                0.21863,                0.16333,                0.07037,                 2.2124,                 2.4386,                 2.1798,              0.0008912,              0.0008912,              0.0008912
                     16,                 2.2208,                 2.4954,                 2.2007,                0.17779,                0.20915,                0.12118,                 0.0564,                 2.1863,                 2.5663,                 2.1926,               0.000812,               0.000812,               0.000812
                     17,                 2.1934,                 2.4848,                 2.1995,                 0.3103,                0.23552,                0.18189,                0.07869,                 2.1409,                  2.397,                 2.1098,              0.0007328,              0.0007328,              0.0007328
                     18,                 2.1731,                 2.4369,                 2.1662,                0.36225,                0.22172,                0.20138,                0.08946,                 2.1122,                 2.3468,                 2.0808,              0.0006536,              0.0006536,              0.0006536
                     19,                 2.1245,                 2.4274,                 2.1523,                0.35416,                0.24438,                0.21155,                0.09755,                  2.093,                  2.264,                 2.0704,              0.0005744,              0.0005744,              0.0005744
                     20,                 2.1172,                 2.3735,                 2.1388,                0.34915,                0.25428,                0.21638,                0.09668,                 2.0811,                 2.2648,                 2.0573,              0.0004952,              0.0004952,              0.0004952
                     21,                 2.1235,                 2.3741,                 2.1396,                0.36685,                0.23923,                0.21296,                0.09485,                 2.0791,                 2.2658,                 2.0469,               0.000416,               0.000416,               0.000416
                     22,                 2.0967,                 2.3332,                 2.1054,                0.33002,                0.26252,                0.21582,                0.09973,                 2.0478,                 2.2348,                 2.0334,              0.0003368,              0.0003368,              0.0003368
                     23,                 2.0981,                  2.319,                 2.1147,                0.37597,                0.26252,                0.22934,                0.10462,                  2.052,                 2.2232,                 2.0076,              0.0002576,              0.0002576,              0.0002576
                     24,                 2.0902,                 2.3209,                 2.0927,                0.38948,                0.26952,                0.23846,                 0.1123,                 2.0262,                 2.1765,                  1.995,              0.0001784,              0.0001784,              0.0001784
